iter	Passed	Remaining
0	146	14495
1	149	7339
2	153	4952
3	154	3706
4	155	2953
5	156	2449
6	157	2089
7	157	1816
8	158	1603
9	159	1433
10	159	1294
11	160	1177
12	161	1078
13	161	994
14	162	921
15	163	857
16	163	800
17	164	749
18	165	705
19	166	664
20	166	627
21	167	593
22	168	563
23	169	535
24	169	509
25	170	485
26	171	462
27	171	441
28	172	422
29	173	403
30	173	386
31	174	370
32	175	355
33	175	341
34	176	327
35	177	314
36	177	302
37	178	291
38	179	280
39	179	269
40	180	259
41	180	249
42	181	240
43	181	231
44	182	223
45	183	215
46	184	207
47	184	200
48	185	192
49	186	186
50	186	179
51	187	173
52	188	166
53	188	160
54	189	155
55	190	149
56	191	144
57	191	138
58	192	133
59	193	128
60	194	124
61	194	119
62	195	114
63	196	110
64	196	105
65	197	101
66	198	97
67	198	93
68	199	89
69	200	85
70	201	82
71	201	78
72	202	74
73	203	71
74	204	68
75	204	64
76	205	61
77	206	58
78	206	54
79	207	51
80	208	48
81	208	45
82	209	42
83	210	40
84	210	37
85	211	34
86	212	31
87	212	29
88	213	26
89	214	23
90	215	21
91	215	18
92	216	16
93	217	13
94	217	11
95	218	9
96	219	6
97	219	4
98	220	2
99	221	0
